,,adjusted_yards_per_attempt,assists_on_tackles,completed_passes,extra_points_made,field_goals_made,fumbles_forced,fumbles_recovered,fumbles_recovered_for_touchdown,games,height,interceptions,interceptions_returned_for_touchdown,interceptions_thrown,kickoff_return_touchdowns,name,other_touchdowns,pass_attempts,passes_defended,passing_completion,passing_touchdowns,passing_yards,passing_yards_per_attempt,player_id,plays_from_scrimmage,points,position,punt_return_touchdowns,quarterback_rating,receiving_touchdowns,receiving_yards,receiving_yards_per_reception,receptions,rush_attempts,rush_touchdowns,rush_yards,rush_yards_per_attempt,rushing_and_receiving_touchdowns,sacks,safeties,season,solo_tackles,tackles_for_loss,team_abbreviation,total_tackles,total_touchdowns,two_point_conversions,weight,yards_from_scrimmage,yards_from_scrimmage_per_play,yards_recovered_from_fumble,yards_returned_from_interceptions,yards_returned_per_interception,year
kale-pearson-1,2012,-1.8,,12,,,,,,10.0,5-9,,,4,,Kale Pearson,,29,,41.4,0,128,4.4,kale-pearson-1,25,12,QB,,50.9,,,,,25,2,49,2.0,2,,,2012,,,Air Force,,2,,175,49,2.0,,,,SO
kale-pearson-1,2013,5.8,0.0,5,0.0,0.0,0.0,0.0,,1.0,5-9,0.0,0.0,0,0.0,Kale Pearson,,8,0.0,62.5,0,46,5.8,kale-pearson-1,3,0,QB,0.0,110.8,0.0,0.0,,0.0,3,0,15,5.0,0,0.0,,2013,1.0,0.0,Air Force,1.0,0,,175,15,5.0,,0.0,,JR
kale-pearson-1,2014,10.1,0.0,101,0.0,0.0,0.0,0.0,,12.0,5-9,0.0,0.0,3,0.0,Kale Pearson,,171,0.0,59.1,14,1590,9.3,kale-pearson-1,172,36,QB,0.0,160.7,0.0,41.0,41.0,1.0,171,6,687,4.0,6,0.0,,2014,2.0,0.0,Air Force,2.0,6,,175,728,4.2,,0.0,,SR
kale-pearson-1,Career,8.3,0.0,118,0.0,0.0,0.0,0.0,,,5-9,0.0,0.0,7,0.0,Kale Pearson,,208,0.0,56.7,14,1764,8.5,kale-pearson-1,200,48,QB,0.0,143.5,0.0,41.0,41.0,1.0,199,8,751,3.8,8,0.0,,Career,3.0,0.0,Air Force,3.0,8,,175,792,4.0,,0.0,,
nate-romine-1,2013,8.1,0,44,0,0,0,0,,9.0,5-11,0,0,1,0,Nate Romine,,81,0,54.3,5,603,7.4,nate-romine-1,75,18,QB,0,134.8,0,0,,0,75,3,205,2.7,3,0.0,,2013,0,0.0,Air Force,0,3,,190,205,2.7,,0,,
nate-romine-1,2014,5.4,1,14,0,0,0,0,,5.0,5-11,0,0,1,0,Nate Romine,,30,0,46.7,0,208,6.9,nate-romine-1,35,6,QB,0,98.2,0,0,,0,35,1,94,2.7,1,0.0,,2014,0,0.0,Air Force,1,1,,190,94,2.7,,0,,SO
nate-romine-1,2015,7.7,0,7,0,0,0,0,,2.0,5-11,0,0,1,0,Nate Romine,,18,0,38.9,2,143,7.9,nate-romine-1,22,6,QB,0,131.2,0,0,,0,22,1,111,5.0,1,0.0,,2015,0,0.0,Air Force,0,1,,190,111,5.0,,0,,JR
nate-romine-1,2016,11.4,0,45,0,0,0,0,,8.0,5-11,0,0,4,0,Nate Romine,,108,0,41.7,10,1206,11.2,nate-romine-1,95,18,QB,0,158.6,0,0,,0,95,3,279,2.9,3,0.0,,2016,0,0.0,Air Force,0,3,,190,279,2.9,,0,,SR
nate-romine-1,2017,5.9,0,9,0,0,0,0,,5.0,5-11,0,0,1,0,Nate Romine,,15,0,60.0,0,133,8.9,nate-romine-1,21,6,QB,0,121.1,0,0,,0,21,1,94,4.5,1,0.0,,2017,0,0.0,Air Force,0,1,,190,94,4.5,,0,,SR
nate-romine-1,Career,9.0,1,119,0,0,0,0,,,5-11,0,0,8,0,Nate Romine,,252,0,47.2,17,2293,9.1,nate-romine-1,248,54,QB,0,139.6,0,0,,0,248,9,783,3.2,9,0.0,,Career,0,0.0,Air Force,1,9,,190,783,3.2,,0,,
karson-roberts-1,2013,5.9,1,21,0,0,0,0,,9.0,6-0,0,0,2,0,Karson Roberts,,41,0,51.2,3,273,6.7,karson-roberts-1,49,18,QB,0,121.5,0,0,,0,49,3,253,5.2,3,0.0,,2013,0,0.0,Air Force,1,3,,195,253,5.2,,0,,SO
karson-roberts-1,2014,,0,0,0,0,0,0,,1.0,6-0,0,0,0,0,Karson Roberts,,0,0,,0,0,,karson-roberts-1,1,0,QB,0,,0,0,,0,1,0,0,0.0,0,0.0,,2014,0,0.0,Air Force,0,0,,195,0,0.0,,0,,JR
karson-roberts-1,2015,8.9,0,77,0,0,0,0,,12.0,6-0,0,0,11,0,Karson Roberts,,148,0,52.0,11,1595,10.8,karson-roberts-1,169,66,QB,0,152.2,1,20,20.0,1,168,10,743,4.4,11,0.0,,2015,3,0.0,Air Force,3,11,,195,763,4.5,,0,,SR
karson-roberts-1,Career,8.3,1,98,0,0,0,0,,,6-0,0,0,13,0,Karson Roberts,,189,0,51.9,14,1868,9.9,karson-roberts-1,219,84,QB,0,145.6,1,20,20.0,1,218,13,996,4.6,14,0.0,,Career,3,0.0,Air Force,4,14,,195,1016,4.6,,0,,
jacobi-owens-1,2014,,0,,0,0,0,0,,10.0,6-0,0,0,,0,Jacobi Owens,,,0,,,,,jacobi-owens-1,208,30,RB,0,,0,8,2.0,4,204,5,1054,5.2,5,0.0,,2014,0,0.0,Air Force,0,5,,202,1062,5.1,,0,,SO
jacobi-owens-1,2015,,0,,0,0,0,0,,14.0,6-0,0,0,,0,Jacobi Owens,,,0,,,,,jacobi-owens-1,206,42,RB,0,,0,0,,0,206,7,1096,5.3,7,0.0,,2015,2,0.0,Air Force,2,7,,202,1096,5.3,,0,,JR
jacobi-owens-1,2016,,0,,0,0,0,0,,13.0,6-0,0,0,,0,Jacobi Owens,,,0,,,,,jacobi-owens-1,145,36,RB,0,,1,60,20.0,3,142,5,859,6.0,6,0.0,,2016,0,0.0,Air Force,0,6,,202,919,6.3,,0,,SR
jacobi-owens-1,Career,,0,,0,0,0,0,,,6-0,0,0,,0,Jacobi Owens,,,0,,,,,jacobi-owens-1,559,108,RB,0,,1,68,9.7,7,552,17,3009,5.5,18,0.0,,Career,2,0.0,Air Force,2,18,,202,3077,5.5,,0,,
shayne-davern-1,2014,,1,,0,0,0,0,,10.0,6-0,0,0,,0,Shayne Davern,,,0,,,,,shayne-davern-1,113,48,RB,0,,0,3,3.0,1,112,8,517,4.6,8,0.0,,2014,0,0.0,Air Force,1,8,,240,520,4.6,,0,,SO
shayne-davern-1,2015,,0,,0,0,0,0,,6.0,6-0,0,0,,0,Shayne Davern,,,0,,,,,shayne-davern-1,47,24,RB,0,,0,33,33.0,1,46,4,323,7.0,4,0.0,,2015,0,0.0,Air Force,0,4,,240,356,7.6,,0,,JR
shayne-davern-1,2016,,2,,0,0,0,0,,12.0,6-0,0,0,,0,Shayne Davern,,,0,,,,,shayne-davern-1,120,24,RB,0,,0,69,17.3,4,116,4,475,4.1,4,0.0,,2016,2,0.0,Air Force,4,4,,240,544,4.5,,0,,SR
shayne-davern-1,Career,,3,,0,0,0,0,,,6-0,0,0,,0,Shayne Davern,,,0,,,,,shayne-davern-1,280,96,RB,0,,0,105,17.5,6,274,16,1315,4.8,16,0.0,,Career,2,0.0,Air Force,5,16,,240,1420,5.1,,0,,
dj-johnson-5,2013,,0,,0,0,0,0,,8.0,5-10,0,0,,0,D.J. Johnson,,,0,,,,,dj-johnson-5,19,6,DL,0,,0,0,,0,19,1,72,3.8,1,0.0,,2013,2,0.0,Air Force,2,1,,235,72,3.8,,0,,
dj-johnson-5,2014,,0,,0,0,0,0,,11.0,5-10,0,0,,0,D.J. Johnson,,,0,,,,,dj-johnson-5,80,48,RB,0,,0,0,,0,80,8,326,4.1,8,0.0,,2014,0,0.0,Air Force,0,8,,235,326,4.1,,0,,SO
dj-johnson-5,2015,,0,,0,0,0,0,,7.0,5-10,0,0,,0,D.J. Johnson,,,0,,,,,dj-johnson-5,82,36,RB,0,,0,0,,0,82,6,425,5.2,6,0.0,,2015,0,0.0,Air Force,0,6,,235,425,5.2,,0,,JR
dj-johnson-5,2016,,0,,0,0,0,0,,12.0,5-10,0,0,,0,D.J. Johnson,,,0,,,,,dj-johnson-5,150,12,RB,0,,0,0,,0,150,2,622,4.1,2,0.0,,2016,0,0.0,Air Force,0,2,,235,622,4.1,,0,,SR
dj-johnson-5,Career,,0,,0,0,0,0,,,5-10,0,0,,0,D.J. Johnson,,,0,,,,,dj-johnson-5,331,102,RB,0,,0,0,,0,331,17,1445,4.4,17,0.0,,Career,2,0.0,Air Force,2,17,,235,1445,4.4,,0,,
devin-rushing-1,2013,,0,,0,0,0,0,,11.0,5-10,0,0,,0,Devin Rushing,,,0,,,,,devin-rushing-1,42,6,RB,0,,0,5,5.0,1,41,1,171,4.2,1,0.0,,2013,0,0.0,Air Force,0,1,,185,176,4.2,,0,,
devin-rushing-1,2014,,0,,0,0,0,0,,13.0,5-10,0,0,,0,Devin Rushing,,,0,,,,,devin-rushing-1,73,18,RB,0,,0,20,10.0,2,71,3,354,5.0,3,0.0,,2014,0,0.0,Air Force,0,3,,185,374,5.1,,0,,JR
devin-rushing-1,2015,,1,,0,0,0,0,,3.0,5-10,0,0,,0,Devin Rushing,,,0,,,,,devin-rushing-1,4,0,RB,0,,0,0,,0,4,0,47,11.8,0,0.0,,2015,0,0.0,Air Force,1,0,,185,47,11.8,,0,,SR
devin-rushing-1,Career,,1,,0,0,0,0,,,5-10,0,0,,0,Devin Rushing,,,0,,,,,devin-rushing-1,119,24,RB,0,,0,25,8.3,3,116,4,572,4.9,4,0.0,,Career,0,0.0,Air Force,1,4,,185,597,5.0,,0,,
broam-hart-1,2011,,0.0,,,,0.0,0.0,,7.0,6-0,,,,,Broam Hart,,,0.0,,,,,broam-hart-1,11,0,RB,,,,,,,11,0,55,5.0,0,0.0,,2011,1.0,0.0,Air Force,1.0,0,,220,55,5.0,,,,
broam-hart-1,2012,,,,,,,,,12.0,6-0,,,,,Broam Hart,,,,,,,,broam-hart-1,29,6,RB,,,,,,,29,1,100,3.4,1,,,2012,,,Air Force,,1,,220,100,3.4,,,,SO
